dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 kk,joulukuu,12/15/2023 00:00:00,3.853
1 kk,joulukuu,12/18/2023 00:00:00,3.859
1 kk,joulukuu,12/19/2023 00:00:00,3.853
1 kk,joulukuu,12/20/2023 00:00:00,3.859
1 kk,joulukuu,12/21/2023 00:00:00,3.876
1 kk,joulukuu,12/22/2023 00:00:00,3.865
1 kk,joulukuu,12/27/2023 00:00:00,3.843
1 kk,joulukuu,12/28/2023 00:00:00,3.872
1 kk,joulukuu,12/29/2023 00:00:00,3.845
1 kk,tammikuu,01/01/2024 00:00:00,3.845
1 kk,tammikuu,01/02/2024 00:00:00,3.856
1 kk,tammikuu,01/03/2024 00:00:00,3.865
1 kk,tammikuu,01/04/2024 00:00:00,3.858
1 kk,tammikuu,01/05/2024 00:00:00,3.878
1 kk,tammikuu,01/08/2024 00:00:00,3.871
1 kk,tammikuu,01/09/2024 00:00:00,3.867
1 kk,tammikuu,01/10/2024 00:00:00,3.877
1 kk,tammikuu,01/11/2024 00:00:00,3.88
1 kk,tammikuu,01/12/2024 00:00:00,3.893
1 kk,tammikuu,01/15/2024 00:00:00,3.868
1 kk,tammikuu,01/16/2024 00:00:00,3.894
1 kk,tammikuu,01/17/2024 00:00:00,3.875
1 kk,tammikuu,01/18/2024 00:00:00,3.869
1 kk,tammikuu,01/19/2024 00:00:00,3.854
1 kk,tammikuu,01/22/2024 00:00:00,3.859
1 kk,tammikuu,01/23/2024 00:00:00,3.869
1 kk,tammikuu,01/24/2024 00:00:00,3.862
1 kk,tammikuu,01/25/2024 00:00:00,3.868
1 kk,tammikuu,01/26/2024 00:00:00,3.871
1 kk,tammikuu,01/29/2024 00:00:00,3.853
1 kk,tammikuu,01/30/2024 00:00:00,3.854
1 kk,tammikuu,01/31/2024 00:00:00,3.877
1 kk,helmikuu,02/01/2024 00:00:00,3.873
1 kk,helmikuu,02/02/2024 00:00:00,3.864
1 kk,helmikuu,02/05/2024 00:00:00,3.887
1 kk,helmikuu,02/06/2024 00:00:00,3.893
1 kk,helmikuu,02/07/2024 00:00:00,3.874
3 kk,syyskuu,09/01/2023 00:00:00,3.77
3 kk,syyskuu,09/04/2023 00:00:00,3.798
3 kk,syyskuu,09/05/2023 00:00:00,3.802
3 kk,syyskuu,09/06/2023 00:00:00,3.795
3 kk,syyskuu,09/07/2023 00:00:00,3.799
3 kk,syyskuu,09/08/2023 00:00:00,3.8
3 kk,syyskuu,09/11/2023 00:00:00,3.822
3 kk,syyskuu,09/12/2023 00:00:00,3.824
3 kk,syyskuu,09/13/2023 00:00:00,3.845
3 kk,syyskuu,09/14/2023 00:00:00,3.867
3 kk,syyskuu,09/15/2023 00:00:00,3.878
3 kk,syyskuu,09/18/2023 00:00:00,3.903
3 kk,syyskuu,09/19/2023 00:00:00,3.934
3 kk,syyskuu,09/20/2023 00:00:00,3.934
3 kk,syyskuu,09/21/2023 00:00:00,3.955
3 kk,syyskuu,09/22/2023 00:00:00,3.958
3 kk,syyskuu,09/25/2023 00:00:00,3.977
3 kk,syyskuu,09/26/2023 00:00:00,3.941
3 kk,syyskuu,09/27/2023 00:00:00,3.972
3 kk,syyskuu,09/28/2023 00:00:00,3.955
3 kk,syyskuu,09/29/2023 00:00:00,3.952
3 kk,lokakuu,10/02/2023 00:00:00,3.951
3 kk,lokakuu,10/03/2023 00:00:00,3.964
3 kk,lokakuu,10/04/2023 00:00:00,3.962
3 kk,lokakuu,10/05/2023 00:00:00,3.972
3 kk,lokakuu,10/06/2023 00:00:00,3.983
3 kk,lokakuu,10/09/2023 00:00:00,3.98
3 kk,lokakuu,10/10/2023 00:00:00,3.988
3 kk,lokakuu,10/11/2023 00:00:00,3.952
3 kk,lokakuu,10/12/2023 00:00:00,3.965
3 kk,lokakuu,10/13/2023 00:00:00,3.985
3 kk,lokakuu,10/16/2023 00:00:00,3.975
3 kk,lokakuu,10/17/2023 00:00:00,3.972
3 kk,lokakuu,10/18/2023 00:00:00,3.993
3 kk,lokakuu,10/19/2023 00:00:00,4.002
3 kk,lokakuu,10/20/2023 00:00:00,3.969
3 kk,lokakuu,10/23/2023 00:00:00,3.956
3 kk,lokakuu,10/24/2023 00:00:00,3.941
3 kk,lokakuu,10/25/2023 00:00:00,3.938
3 kk,lokakuu,10/26/2023 00:00:00,3.952
3 kk,lokakuu,10/27/2023 00:00:00,3.948
3 kk,lokakuu,10/30/2023 00:00:00,3.968
3 kk,lokakuu,10/31/2023 00:00:00,3.972
3 kk,marraskuu,11/01/2023 00:00:00,3.953
3 kk,marraskuu,11/02/2023 00:00:00,3.974
3 kk,marraskuu,11/03/2023 00:00:00,3.956
3 kk,marraskuu,11/06/2023 00:00:00,3.963
3 kk,marraskuu,11/07/2023 00:00:00,3.966
3 kk,marraskuu,11/08/2023 00:00:00,3.973
3 kk,marraskuu,11/09/2023 00:00:00,3.987
3 kk,marraskuu,11/10/2023 00:00:00,3.992
3 kk,marraskuu,11/13/2023 00:00:00,4.002
3 kk,marraskuu,11/14/2023 00:00:00,3.997
3 kk,marraskuu,11/15/2023 00:00:00,3.994
3 kk,marraskuu,11/16/2023 00:00:00,4.002
3 kk,marraskuu,11/17/2023 00:00:00,3.984
3 kk,marraskuu,11/20/2023 00:00:00,3.962
3 kk,marraskuu,11/21/2023 00:00:00,3.973
3 kk,marraskuu,11/22/2023 00:00:00,3.962
3 kk,marraskuu,11/23/2023 00:00:00,3.956
3 kk,marraskuu,11/24/2023 00:00:00,3.935
3 kk,marraskuu,11/27/2023 00:00:00,3.951
3 kk,marraskuu,11/28/2023 00:00:00,3.955
3 kk,marraskuu,11/29/2023 00:00:00,3.975
3 kk,marraskuu,11/30/2023 00:00:00,3.964
3 kk,joulukuu,12/01/2023 00:00:00,3.96
3 kk,joulukuu,12/04/2023 00:00:00,3.962
3 kk,joulukuu,12/05/2023 00:00:00,3.958
3 kk,joulukuu,12/06/2023 00:00:00,3.95
3 kk,joulukuu,12/07/2023 00:00:00,3.969
3 kk,joulukuu,12/08/2023 00:00:00,3.95
3 kk,joulukuu,12/11/2023 00:00:00,3.958
3 kk,joulukuu,12/12/2023 00:00:00,3.928
3 kk,joulukuu,12/13/2023 00:00:00,3.925
3 kk,joulukuu,12/14/2023 00:00:00,3.932
3 kk,joulukuu,12/15/2023 00:00:00,3.92
3 kk,joulukuu,12/18/2023 00:00:00,3.938
3 kk,joulukuu,12/19/2023 00:00:00,3.923
3 kk,joulukuu,12/20/2023 00:00:00,3.916
3 kk,joulukuu,12/21/2023 00:00:00,3.916
3 kk,joulukuu,12/22/2023 00:00:00,3.931
3 kk,joulukuu,12/27/2023 00:00:00,3.925
3 kk,joulukuu,12/28/2023 00:00:00,3.893
3 kk,joulukuu,12/29/2023 00:00:00,3.909
3 kk,tammikuu,01/01/2024 00:00:00,3.909
3 kk,tammikuu,01/02/2024 00:00:00,3.905
3 kk,tammikuu,01/03/2024 00:00:00,3.929
3 kk,tammikuu,01/04/2024 00:00:00,3.922
3 kk,tammikuu,01/05/2024 00:00:00,3.936
3 kk,tammikuu,01/08/2024 00:00:00,3.925
3 kk,tammikuu,01/09/2024 00:00:00,3.928
3 kk,tammikuu,01/10/2024 00:00:00,3.936
3 kk,tammikuu,01/11/2024 00:00:00,3.942
3 kk,tammikuu,01/12/2024 00:00:00,3.932
3 kk,tammikuu,01/15/2024 00:00:00,3.928
3 kk,tammikuu,01/16/2024 00:00:00,3.894
3 kk,tammikuu,01/17/2024 00:00:00,3.903
3 kk,tammikuu,01/18/2024 00:00:00,3.97
3 kk,tammikuu,01/19/2024 00:00:00,3.958
3 kk,tammikuu,01/22/2024 00:00:00,3.945
3 kk,tammikuu,01/23/2024 00:00:00,3.948
3 kk,tammikuu,01/24/2024 00:00:00,3.929
3 kk,tammikuu,01/25/2024 00:00:00,3.925
3 kk,tammikuu,01/26/2024 00:00:00,3.887
3 kk,tammikuu,01/29/2024 00:00:00,3.912
3 kk,tammikuu,01/30/2024 00:00:00,3.897
3 kk,tammikuu,01/31/2024 00:00:00,3.905
3 kk,helmikuu,02/01/2024 00:00:00,3.884
3 kk,helmikuu,02/02/2024 00:00:00,3.9
3 kk,helmikuu,02/05/2024 00:00:00,3.922
3 kk,helmikuu,02/06/2024 00:00:00,3.932
3 kk,helmikuu,02/07/2024 00:00:00,3.895
6 kk,syyskuu,09/01/2023 00:00:00,3.934
6 kk,syyskuu,09/04/2023 00:00:00,3.955
6 kk,syyskuu,09/05/2023 00:00:00,3.938
6 kk,syyskuu,09/06/2023 00:00:00,3.929
6 kk,syyskuu,09/07/2023 00:00:00,3.938
6 kk,syyskuu,09/08/2023 00:00:00,3.952
6 kk,syyskuu,09/11/2023 00:00:00,3.97
6 kk,syyskuu,09/12/2023 00:00:00,3.968
6 kk,syyskuu,09/13/2023 00:00:00,3.999
6 kk,syyskuu,09/14/2023 00:00:00,4.04
6 kk,syyskuu,09/15/2023 00:00:00,4.055
6 kk,syyskuu,09/18/2023 00:00:00,4.066
